SampleID,Eas_X,Nor_Y,0-5_NO3_mg_kg,0-5_LOI_g_kg,0-5_Soil_pH_(1:2),5-10_NO3_mg_kg,5-10_LOI_g_kg,5-10_Soil_pH_(1:2),10-20_NO3_mg_kg,10-20_LOI_g_kg,10-20_Soil_pH_(1:2),20-40_NO3_mg_kg,20-40_LOI_g_kg,20-40_Soil_pH_(1:2),40-60_NO3_mg_kg,40-60_LOI_g_kg,40-60_Soil_pH_(1:2),60-90_NO3_mg_kg,60-90_LOI_g_kg,60-90_Soil_pH_(1:2),Soil_Series,Soil_Drainage_Type
P6-90,269922.3598,3700430,11.2440855,70.75913777,5.913,15.37637101,31.63078344,6.0385,3.771516563,37.45741465,6.6745,,,,,,,0.317837045,43.02670623,7.57,Iredell,MWD
P6-91,269944.4586,3700440,21.26661155,108.3336069,5.1525,9.489820645,52.02401231,5.961,3.588510735,50.53550704,6.578,1.094386307,73.33666833,7.013,1.115044146,61.8729097,7.039,0.793627563,40.74650078,8.123,Iredell,MWD
P6-92,269965.8596,3700450,20.24400006,69.27158167,5.0065,17.12500354,80.81595689,5.991,4.459981921,58.67756219,6.911,,69.81852913,,0.1395653,60.79724692,7.976,0.701950622,60.82508618,7.962,Helena,MWD
P6-93,269976.9088,3700470,21.21335429,66.27216874,4.832,21.1513346,47.84058244,5.649,15.90415767,39.83072133,6.2345,15.56338961,42.21723594,6.611,0.587485043,54.17033343,7.367,,,,Helena,MWD
P6-94,269910.1455,3700450,19.08390446,93.84676381,5.1535,19.47867739,62.69534748,5.622,5.091485778,48.71979307,6.6985,1.51284639,102.9883156,7.289,0.37621613,91.98782962,7.303,0.446433822,72.68856448,7.04,Iredell,MWD
P6-95,269932.2443,3700450,21.95266216,121.428266,4.712,19.83403216,65.71794082,5.7805,9.323993344,44.47830745,6.621,7.2138072,48.42214175,6.86,0.574728043,55.34680613,7.171,0.313732474,43.22158971,7.211,Iredell,MWD
P6-96,269953.6452,3700470,18.76641393,77.31791233,5.1825,19.94402039,48.54713465,5.4295,11.13875366,41.29395672,5.893,4.30947671,64.88355538,6.731,0.80600236,86.96911197,7.265,0.287745898,56.89155048,7.253,Helena,MWD
P7-97,269725.769,3700479.515,19.96073927,71.94976866,4.8545,20.48113092,56.09222984,4.993,12.08962232,55.48997944,5.5055,0.397361863,66.44705126,6.38,0.293353376,86.23619371,6.632,0.545225128,99.56348101,5.877,Cecil,WD
P7-98,269737.3328,3700457.349,20.83759195,116.10467,5.1685,18.90918607,68.61977931,5.1575,9.705305624,65.39858559,5.482,0.084277653,90.43874172,6.218,0.1666301,101.9298433,6.176,0.20370688,101.9511697,5.684,Cecil,WD
P7-99,269744.9743,3700502.721,19.24421936,121.4461489,4.864,,82.89110988,,4.090592393,60.45990291,5.5595,0.551379064,90.47551253,5.971,0.817498864,65.56141673,5.834,0.375267411,85.95408065,5.538,Cecil,WD
P7-100,269753.6012,3700486.747,20.3369934,82.15217462,4.8485,19.13009454,66.29549854,4.948,6.215530972,62.31001476,5.519,0.602382066,74.19945105,5.9,0.597019517,96.59033079,6.299,0.813083816,97.45272096,5.971,Cecil,WD
P7-101,269762.1488,3700470.296,18.36824795,116.1760717,4.493,20.11670134,86.2009433,4.899,11.78856769,79.5211849,5.0805,3.85186222,109.3512032,5.85,1.588555454,113.7130802,6.409,1.004493656,105.4838169,6.753,Cecil,WD
P7-102,269763.8372,3700527.574,19.70014742,148.0043268,5.0905,17.06977378,110.3020062,5.278,1.458962823,103.7001762,5.9025,0.268166393,112.8730425,5.974,0.161072657,104.7529706,5.812,0.167512022,105.4676119,5.637,Cecil,WD
P7-103,269775.401,3700505.408,20.2277383,92.58096059,5.211,17.12131235,68.77716842,5.4845,3.035388565,66.79175859,6.0725,1.751916212,78.67607162,6.545,0.267441142,93.19918299,6.587,0.448234783,98.78714934,6.356,Cecil,WD
P7-104,269786.9648,3700483.242,18.82307473,125.3314823,4.8065,20.40868717,77.06730181,4.9045,11.72070791,73.20192247,5.3125,0.961524513,83.19928508,6.038,0.227146352,101.0386206,6.51,0.181811457,104.8062866,6.231,Cecil,WD
P7-105,269785.2135,3700546.341,18.75928393,102.1754081,4.64,20.21176505,80.07840033,5.2125,4.388094457,79.92219582,5.839,0.788320499,102.1033717,6.206,0.206251937,110.5892778,6.361,0.530100096,106.673209,5.897,Cecil,WD
P7-106,269796.7773,3700524.175,19.34849841,99.79588153,4.735,20.58384082,70.96657585,4.429,7.556717685,64.41295175,5.256,0.563449336,76.13099257,6.18,0.261615674,88.14066592,6.548,0.318548275,98.95150721,6.308,Cecil,WD
P7-107,269808.3412,3700502.009,19.33961842,113.3673326,4.734,11.85944843,81.81968021,5.3135,4.691004058,78.29111101,5.9565,0.821625338,95.81355201,6.316,0.528411369,105.3525913,6.465,0.437524053,107.1582393,5.981,Cecil,WD
